Time,Altitude
0.0,11.214452033060658
0.2,14.745097343947767
0.4,21.889585637424343
0.6000000000000001,32.731363263292046
0.8,47.352861015398126
1.0,65.83478876214475
1.2000000000000002,83.85183498177368
1.4000000000000001,101.40768110061232
1.6,118.50587571778898
1.8,135.1498387849176
2.0,151.3428655797007
2.2,167.08813049457237
2.4000000000000004,182.38869062414608
2.6,197.24748919726437
2.8000000000000003,211.66735880851743
3.0,225.6510245267493
3.2,239.20110682414435
3.4000000000000004,252.32012437239933
3.6,265.01049669891813
3.8000000000000003,277.27454671358737
4.0,289.11450310259545
4.2,300.5325026125449
4.4,311.5305922107467
4.6000000000000005,322.1107311379007
4.800000000000001,332.2747928630177
5.0,342.02456692436357
5.2,351.361760683201
5.4,360.28800098045207
5.6000000000000005,368.80483571389766
5.800000000000001,376.9137353098234
6.0,384.61609413562906
6.2,391.91323181744724
6.4,398.8063944937776
6.6000000000000005,405.2967559853968
6.800000000000001,411.38541891325946
7.0,417.0734157375966
7.2,422.36170975204703
7.4,427.2511960102573
7.6000000000000005,431.7427022244233
7.800000000000001,435.83698961462443
8.0,439.5347537618154
8.200000000000001,442.83662544332697
8.4,445.74317155027114
8.6,448.2548960946051
8.8,450.3722414694021
9.0,452.0955901237669
9.200000000000001,453.425267021091
9.4,454.3615434291106
9.600000000000001,454.90464293919024
9.8,455.05475086039485
10.0,454.81202784275865
10.200000000000001,454.1766272531604
10.4,453.1487138004167
10.600000000000001,451.7284800651733
10.8,449.91615889155577
11.0,447.71203160460345
11.200000000000001,445.11643306862976
11.4,442.1297546679293
11.600000000000001,438.7524460487414
11.8,434.9850161018509
12.0,430.8280334953068
12.200000000000001,426.2821269243387
12.4,421.34798518351033
12.600000000000001,416.0263571139871
12.8,410.31805145059036
13.0,404.2239366327926
13.200000000000001,397.74494052819415
13.4,390.88205013545263
13.600000000000001,383.63631124269983
13.8,376.0088280576609
14.0,368.00076279326606
14.200000000000001,359.6133352475259
14.4,350.84782233396993
14.600000000000001,341.7055576021241
14.8,332.1879307233591
15.0,322.2963869653739
15.200000000000001,312.0324266264151
15.4,301.3976044651866
15.600000000000001,290.3935290919103
15.8,279.0218623571979
16.0,267.28431869503044
16.2,255.1826644727178
16.400000000000002,242.71871729779338
16.6,229.89434531709114
16.8,216.7114665037796
17.0,203.17204790134048
17.2,189.27810487947687
17.400000000000002,175.03170035049737
17.6,160.43494397226084
17.8,145.4899913489626
18.0,130.19904319593186
18.2,114.5643445036877
18.400000000000002,98.58818367447152
18.6,82.27289165875031
18.8,65.62084106631801
19.0,48.634445264686946
19.200000000000003,31.31615746900165
19.400000000000002,13.668469822069206
19.6,-4.306087550997597
