# Simulation 1 (Up to date)
# 0,
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
0.13,0.611,10.148,80.764,10.148,80.764,0,0,0,0,0,0,28.61,-80.6,9.792,12.527,0,0,0,7793.542,911.542,2.024,7.022e-4,NaN,123.636,NaN,0.031,1.469e6,707.955,2.199,3.243,4.049,0.32,0.002,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,10.22,82.034,90,0,2.255,14.996,1013.178,340.386,0.01,0.012
0.14,0.717,10.943,79.429,10.943,79.429,0,0,0,0,0,0,28.61,-80.6,9.792,11.669,0,0,0,7790.3,908.3,2.022,7.016e-4,NaN,123.604,NaN,0.033,1.579e6,697.555,2.499,3.239,3.983,0.316,0.002,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,10.22,82.034,90,0,2.26,14.995,1013.166,340.386,0.01,0.013
0.15,0.83,11.723,78.065,11.723,78.065,0,0,0,0,0,0,28.61,-80.6,9.792,10.935,0,0,0,7787.057,905.057,2.02,7.01e-4,NaN,123.571,NaN,0.035,1.687e6,686.955,2.81,3.235,3.923,0.312,0.002,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,10.22,82.034,90,0,2.265,14.995,1013.153,340.386,0.01,0.013
0.16,0.951,12.49,76.698,12.49,76.698,0,0,0,0,0,0,28.61,-80.6,9.792,10.258,0,0,0,7783.815,901.815,2.018,7.004e-4,NaN,123.539,NaN,0.037,1.793e6,676.356,3.131,3.235,3.868,0.312,0.002,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,10.22,82.034,90,0,2.26,14.994,1013.138,340.385,0.01,0.014
0.17,1.08,13.244,75.329,13.244,75.329,0,0,0,0,0,0,28.61,-80.6,9.792,9.668,0,0,0,7780.573,898.573,2.016,6.998e-4,NaN,123.506,NaN,0.039,1.898e6,665.756,3.463,3.235,3.819,0.312,0.002,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,10.22,82.034,90,0,2.256,14.993,1013.123,340.385,0.01,0.015
0.18,1.216,13.985,74.111,13.985,74.111,0,0,0,0,0,0,28.61,-80.6,9.792,9.147,0,0,0,7777.434,895.434,2.014,6.993e-4,NaN,123.475,NaN,0.042,2.001e6,656.357,3.806,3.235,3.775,0.312,0.003,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,10.22,82.034,90,0,2.252,14.992,1013.107,340.384,0.01,0.016
0.19,1.359,14.72,73.525,14.72,73.525,0,0,0,0,0,0,28.61,-80.6,9.792,8.68,0,0,0,7774.364,892.364,2.012,6.987e-4,NaN,123.444,NaN,0.044,2.104e6,651.896,4.161,3.235,3.735,0.312,0.003,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,10.22,82.034,90,0,2.247,14.991,1013.091,340.384,0.01,0.017
0.2,1.51,15.45,73.005,15.45,73.005,0,0,0,0,0,0,28.61,-80.6,9.792,8.26,0,0,0,7771.295,889.295,2.01,6.982e-4,NaN,123.413,NaN,0.046,2.206e6,647.968,4.53,3.235,3.699,0.312,0.003,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,10.22,82.034,90,0,2.243,14.99,1013.073,340.383,0.01,0.018
0.21,1.668,16.175,72.483,16.175,72.483,0,0,0,0,0,0,28.61,-80.6,9.792,7.864,0,0,0,7768.225,886.225,2.009,6.976e-4,NaN,123.383,NaN,0.048,2.307e6,644.04,4.91,3.235,3.666,0.312,0.003,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,10.22,82.034,90,0,2.234,14.989,1013.054,340.382,0.01,0.019
0.22,1.834,16.895,71.959,16.895,71.959,0,0,0,0,0,0,28.61,-80.6,9.792,7.503,0,0,0,7765.155,883.155,2.007,6.971e-4,NaN,123.352,NaN,0.05,2.407e6,640.113,5.303,3.235,3.635,0.312,0.003,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,10.22,82.034,90,0,2.225,14.988,1013.035,340.382,0.01,0.02
