# Simulation 1 (Up to date)
# 0,
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
0.831,23.702,51.493,41.072,51.494,41.195,0.015,4.947e-6,0.015,0.019,0.394,3.175,28.61,-80.6,9.792,0.711,-1.522e-6,-9.319,-6.913e-4,7610.336,728.336,1.909,6.691e-4,147.043,121.763,2.474,0.151,7.27e6,431.032,43.186,3.237,3.242,0.311,0.003,0.123,0.176,0.461,-3.013e-5,0,0,0,0,-0.026,0.007,10.22,82.034,86.765,0.002,1.873,14.846,1010.47,340.296,0.05,0.033
0.881,26.324,53.415,38.228,53.418,38.399,0.039,7.166e-6,0.039,0.011,0.561,3.614,28.61,-80.6,9.792,1.142,-2.391e-6,-8.028,-6.145e-4,7600.531,718.531,1.903,6.674e-4,146.51,121.66,2.432,0.157,7.539e6,412.565,46.57,3.238,3.25,0.311,0.003,0.123,0.287,0.716,-3.564e-4,0,0,0,0,-0.018,0.007,10.22,82.034,86.329,0.002,1.795,14.829,1010.163,340.285,0.05,0.034
0.931,29.04,55.215,35.795,55.22,36.012,0.071,9.825e-6,0.071,0.008,0.748,3.945,28.61,-80.6,9.792,1.449,3.34e-6,-6.183,-0.001,7591.193,709.193,1.897,6.657e-4,146.142,121.562,2.405,0.162,7.792e6,397.184,49.87,3.238,3.258,0.311,0.003,0.123,0.368,0.895,2.306e-4,0,0,0,0,-0.01,0.007,10.22,82.034,85.972,0.002,1.737,14.811,1009.844,340.275,0.05,0.034
0.981,31.837,56.647,28.455,56.654,28.709,0.113,1.289e-5,0.113,0.007,0.929,3.807,28.61,-80.6,9.792,1.747,6.125e-7,-3.825,-0.002,7583.059,701.059,1.892,6.642e-4,145.79,121.476,2.379,0.167,7.992e6,343.994,52.614,3.238,3.267,0.311,0.003,0.124,0.448,1.07,3.492e-4,0,0,0,0,-0.004,0.007,10.22,82.034,85.721,8.714e-4,1.574,14.793,1009.516,340.263,0.05,0.035
1.031,34.69,57.466,16.298,57.476,16.577,0.163,1.62e-5,0.163,0.006,1.08,3.029,28.61,-80.6,9.792,1.826,9.099e-7,-0.956,-0.002,7577.039,695.039,1.888,6.631e-4,145.699,121.413,2.376,0.169,8.106e6,253.047,54.18,3.238,3.269,0.311,0.003,0.124,0.47,1.116,3.667e-5,0,0,0,0,-2.194e-4,0.007,10.22,82.034,85.601,-1.555e-4,1.5,14.775,1009.181,340.252,0.05,0.035
1.081,37.568,57.662,3.901,57.674,4.394,0.22,1.96e-5,0.22,0.005,1.182,2.023,28.61,-80.6,9.792,1.734,1.148e-6,1.834,-9.459e-4,7573.203,691.203,1.885,6.624e-4,145.808,121.372,2.391,0.17,8.133e6,159.067,54.493,3.238,3.266,0.311,0.003,0.124,0.445,1.062,3.238e-4,0,0,0,0,8.026e-4,0.007,10.22,82.034,85.624,-0.001,1.478,14.756,1008.844,340.241,0.05,0.036
1.131,40.445,57.423,-4.72,57.437,4.864,0.281,2.295e-5,0.281,0.005,1.246,1.175,28.61,-80.6,9.792,1.453,1.509e-6,4.421,-0.002,7570.987,688.987,1.884,6.62e-4,146.142,121.349,2.426,0.169,8.098e6,92.857,53.903,3.238,3.258,0.311,0.003,0.124,0.369,0.89,2.589e-4,0,0,0,0,0.005,0.007,10.22,82.034,85.783,-0.002,1.527,14.737,1008.506,340.23,0.05,0.036
1.181,43.303,56.883,-10.715,56.898,10.726,0.344,2.617e-5,0.344,0.004,1.277,0.491,28.61,-80.6,9.792,1.042,-1.959e-6,6.355,-0.003,7569.859,687.859,1.883,6.618e-4,146.641,121.337,2.476,0.167,8.021e6,46.03,52.736,3.238,3.249,0.311,0.003,0.124,0.261,0.637,-1.156e-4,0,0,0,0,0.01,0.007,10.22,82.034,86.056,-0.004,1.61,14.719,1008.171,340.218,0.05,0.037
1.231,46.129,56.16,-14.356,56.175,14.356,0.408,2.924e-5,0.408,0.004,1.283,0.025,28.61,-80.6,9.792,0.616,-4.821e-6,7.602,-0.006,7569.443,687.443,1.883,6.617e-4,147.173,121.332,2.528,0.165,7.918e6,16.831,51.289,3.238,3.242,0.311,0.003,0.124,0.152,0.37,-8.037e-5,0,0,0,0,0.015,0.007,10.22,82.034,86.408,-0.005,1.639,14.7,1007.84,340.207,0.05,0.037
1.274,48.515,55.478,-15.863,55.493,15.865,0.462,3.171e-5,0.462,0.004,1.276,0.26,28.61,-80.6,9.792,0.185,-3.64e-6,8.132,-0.019,7569.348,687.348,1.883,6.617e-4,147.729,121.331,2.583,0.163,7.821e6,4.01,49.995,3.238,3.238,0.311,0.003,0.123,0.045,0.099,1.547e-4,0,0,0,0,0.017,0.007,10.22,82.034,86.747,-0.006,1.699,14.685,1007.56,340.198,0.043,0.038
1.324,51.269,54.664,-16.19,54.678,16.198,0.526,3.444e-5,0.526,0.004,1.256,0.501,28.61,-80.6,9.792,0.362,5.329e-6,-7.939,-0.011,7569.348,687.348,1.883,6.617e-4,147.497,121.331,2.56,0.161,7.706e6,0,48.552,3.238,3.239,0.311,0.003,0.123,0.089,0.243,-1.915e-4,0,0,0,0,-0.017,0.007,10.22,82.034,87.152,-0.008,1.813,14.667,1007.237,340.187,0.05,0.039
1.374,53.982,53.859,-16.005,53.873,16.019,0.588,3.695e-5,0.588,0.004,1.226,0.666,28.61,-80.6,9.792,0.816,-3.877e-6,-7.021,-0.004,7569.348,687.348,1.883,6.617e-4,146.916,121.331,2.503,0.159,7.591e6,0,47.202,3.238,3.244,0.311,0.003,0.123,0.203,0.521,3.549e-4,0,0,0,0,-0.013,0.007,10.22,82.034,87.529,-0.009,1.871,14.649,1006.919,340.176,0.05,0.04
1.424,56.655,53.063,-15.833,53.077,15.853,0.648,3.928e-5,0.648,0.003,1.19,0.801,28.61,-80.6,9.792,1.207,2.284e-6,-5.639,-0.004,7569.348,687.348,1.883,6.617e-4,146.431,121.331,2.456,0.156,7.478e6,0,45.917,3.238,3.252,0.311,0.003,0.123,0.304,0.755,-4.288e-4,0,0,0,0,-0.009,0.007,10.22,82.034,87.847,-0.008,1.927,14.632,1006.605,340.166,0.05,0.04
1.474,59.288,52.276,-15.666,52.288,15.692,0.707,4.147e-5,0.707,0.003,1.146,0.898,28.61,-80.6,9.792,1.506,-2.196e-6,-3.752,-0.002,7569.348,687.348,1.883,6.617e-4,146.067,121.331,2.42,0.154,7.366e6,0,44.661,3.238,3.259,0.311,0.003,0.123,0.383,0.932,-1.867e-4,0,0,0,0,-0.004,0.007,10.22,82.034,88.083,-0.007,1.983,14.615,1006.297,340.155,0.05,0.041
1.524,61.882,51.497,-15.498,51.508,15.526,0.763,4.36e-5,0.763,0.003,1.101,0.93,28.61,-80.6,9.792,1.66,1.12e-6,-1.719,-0.003,7569.348,687.348,1.883,6.617e-4,145.882,121.331,2.402,0.152,7.255e6,0,43.389,3.237,3.263,0.311,0.003,0.123,0.424,1.02,-2.3e-4,0,0,0,0,-8.821e-4,0.007,10.22,82.034,88.22,-0.003,1.995,14.598,1005.992,340.145,0.05,0.041
1.541,62.759,51.251,-14.391,51.262,14.413,0.781,4.434e-5,0.781,0.003,1.087,0.794,28.61,-80.6,9.792,1.668,0,2.274,-0.005,5042.5,440.5,0.149,4.39e-4,106.118,87.513,1.82,0.151,5.095e6,0,23.302,1.755,1.77,0.23,0.003,0.123,0.247,0.448,2.019e-4,0,0,0,0,0.001,0.007,10.22,82.034,88.215,-0.002,2.006,14.592,1005.889,340.142,0.017,0.043
1.558,63.64,51.003,-14.344,51.014,14.364,0.8,4.509e-5,0.8,0.003,1.073,0.769,28.61,-80.6,9.792,1.61,-5.107e-6,6.171,-0.006,5042.5,440.5,0.149,4.39e-4,106.181,87.513,1.827,0.15,5.071e6,0,23.063,1.755,1.769,0.23,0.003,0.123,0.237,0.425,4.179e-4,0,0,0,0,0.009,0.007,10.22,82.034,88.142,1.724e-4,2.017,14.586,1005.786,340.138,0.017,0.043
1.577,64.572,50.741,-14.291,50.752,14.309,0.82,4.591e-5,0.82,0.003,1.06,0.72,28.61,-80.6,9.792,1.48,-8.133e-6,9.94,-0.008,5042.5,440.5,0.149,4.39e-4,106.323,87.513,1.84,0.149,5.044e6,0,22.799,1.755,1.767,0.23,0.003,0.123,0.217,0.377,4.935e-4,0,0,0,0,0.024,0.006,10.22,82.034,87.993,0.002,2.031,14.58,1005.677,340.135,0.018,0.043
1.598,65.632,50.442,-14.231,50.453,14.245,0.842,4.688e-5,0.842,0.003,1.045,0.644,28.61,-80.6,9.792,1.256,-6.101e-6,13.513,-0.01,5042.5,440.5,0.149,4.39e-4,106.571,87.513,1.865,0.149,5.014e6,0,22.491,1.755,1.763,0.23,0.003,0.123,0.183,0.297,4.848e-4,0,0,0,0,0.044,0.006,10.22,82.034,87.746,0.005,2.047,14.573,1005.552,340.13,0.021,0.044
1.624,66.982,50.061,-14.156,50.071,14.167,0.87,4.82e-5,0.87,0.003,1.029,0.55,28.61,-80.6,9.792,0.95,-1.599e-5,16.769,-0.009,5042.5,440.5,0.149,4.39e-4,106.918,87.513,1.899,0.147,4.976e6,0,22.111,1.755,1.76,0.23,0.003,0.123,0.136,0.19,1.421e-4,0,0,0,0,0.069,0.006,10.22,82.034,87.335,0.008,2.13,14.565,1005.394,340.125,0.027,0.044
1.665,68.987,49.493,-14.054,49.503,14.059,0.911,5.039e-5,0.911,0.003,1.01,0.404,28.61,-80.6,9.792,0.423,-1.461e-5,18.795,-0.036,5042.5,440.5,0.149,4.39e-4,107.535,87.513,1.959,0.146,4.92e6,0,21.57,1.755,1.756,0.23,0.003,0.123,0.06,0.028,-1.232e-4,0,0,0,0,0.089,0.006,10.22,82.034,86.606,0.011,2.281,14.552,1005.159,340.117,0.04,0.045
1.715,71.444,48.793,-13.946,48.803,13.947,0.961,5.361e-5,0.961,0.003,0.995,0.21,28.61,-80.6,9.792,0.325,-6.997e-5,-17.438,-0.038,5042.5,440.5,0.149,4.39e-4,107.653,87.513,1.971,0.144,4.851e6,0,20.962,1.755,1.756,0.23,0.003,0.123,0.046,0.169,-1.421e-5,0,0,0,0,-0.078,0.006,10.22,82.034,85.684,0.016,2.393,14.536,1004.871,340.107,0.05,0.045
1.764,73.844,48.104,-13.862,48.114,13.862,1.01,5.767e-5,1.01,0.003,0.991,0.014,28.61,-80.6,9.792,1.126,-1.365e-5,-11.12,-0.012,5042.5,440.5,0.149,4.39e-4,106.712,87.513,1.879,0.142,4.781e6,0,20.435,1.755,1.762,0.23,0.003,0.123,0.163,0.338,3.874e-4,0,0,0,0,-0.033,0.006,10.22,82.034,84.968,0.018,2.271,14.52,1004.589,340.098,0.05,0.046
1.79,75.059,47.753,-13.816,47.763,13.816,1.035,6.017e-5,1.035,0.003,0.992,0.073,28.61,-80.6,9.792,1.352,7.379e-6,-6.885,-0.011,5042.5,440.5,0.149,4.39e-4,106.457,87.513,1.854,0.141,4.746e6,0,20.169,1.755,1.764,0.23,0.003,0.123,0.197,0.379,3.72e-4,0,0,0,0,-0.013,0.006,10.22,82.034,84.74,0.017,2.269,14.512,1004.447,340.093,0.025,0.046
1.813,76.176,47.429,-13.765,47.44,13.765,1.058,6.273e-5,1.058,0.003,0.994,0.079,28.61,-80.6,9.792,1.398,6.742e-6,-2.831,-0.009,5042.5,440.5,0.149,4.39e-4,106.406,87.513,1.849,0.14,4.714e6,0,19.904,1.755,1.765,0.23,0.003,0.123,0.204,0.38,1.223e-4,0,0,0,0,-0.002,0.006,10.22,82.034,84.627,0.016,2.302,14.505,1004.316,340.089,0.023,0.047
1.837,77.297,47.104,-13.706,47.114,13.706,1.082,6.554e-5,1.082,0.003,0.996,0.049,28.61,-80.6,9.792,1.314,4.053e-6,1.013,-0.007,5042.5,440.5,0.149,4.39e-4,106.498,87.513,1.858,0.139,4.681e6,0,19.622,1.755,1.764,0.23,0.003,0.123,0.192,0.356,6.013e-6,0,0,0,0,2.838e-4,0.006,10.22,82.034,84.606,0.013,2.364,14.498,1004.184,340.084,0.024,0.047
1.862,78.503,46.752,-13.641,46.763,13.642,1.107,6.88e-5,1.107,0.004,0.996,0.021,28.61,-80.6,9.792,1.215,5.858e-6,4.71,-0.016,5042.5,440.5,0.149,4.39e-4,106.608,87.513,1.868,0.138,4.646e6,0,19.315,1.755,1.763,0.23,0.003,0.122,0.176,0.323,-1.038e-4,0,0,0,0,0.006,0.006,10.22,82.034,84.682,0.01,2.358,14.49,1004.043,340.08,0.026,0.048
1.891,79.841,46.361,-13.57,46.372,13.57,1.136,7.264e-5,1.136,0.004,0.997,0.003,28.61,-80.6,9.792,1.102,1.869e-5,8.477,-0.016,5042.5,440.5,0.149,4.39e-4,106.735,87.513,1.881,0.137,4.606e6,0,18.972,1.755,1.761,0.23,0.003,0.122,0.159,0.279,2.161e-5,0,0,0,0,0.021,0.006,10.22,82.034,84.874,0.005,2.265,14.481,1003.886,340.074,0.029,0.048
1.925,81.399,45.904,-13.479,45.915,13.479,1.17,7.727e-5,1.17,0.004,0.995,0.089,28.61,-80.6,9.792,0.754,2.692e-5,11.716,-0.02,5042.5,440.5,0.149,4.39e-4,107.136,87.513,1.92,0.135,4.56e6,0,18.562,1.755,1.758,0.23,0.003,0.122,0.107,0.166,1.025e-4,0,0,0,0,0.04,0.006,10.22,82.034,85.221,-0.002,2.238,14.471,1003.703,340.068,0.034,0.049
1.975,83.678,45.234,-13.352,45.244,13.354,1.219,8.402e-5,1.219,0.004,0.987,0.236,28.61,-80.6,9.792,0.101,-6.527e-5,12.999,-0.155,5042.5,440.5,0.149,4.39e-4,107.917,87.513,1.996,0.133,4.493e6,0,17.99,1.755,1.755,0.23,0.003,0.122,0.014,-0.023,-2.254e-4,0,0,0,0,0.051,0.006,10.22,82.034,85.858,-0.014,2.222,14.456,1003.436,340.059,0.05,0.049
2.025,85.923,44.569,-13.242,44.579,13.247,1.268,9.027e-5,1.268,0.004,0.972,0.369,28.61,-80.6,9.792,0.534,-2.921e-5,-10.943,-0.026,5042.5,440.5,0.149,4.39e-4,107.391,87.513,1.945,0.131,4.427e6,0,17.476,1.755,1.756,0.23,0.003,0.122,0.076,0.184,-4.443e-4,0,0,0,0,-0.037,0.006,10.22,82.034,86.47,-0.027,2.208,14.442,1003.173,340.05,0.05,0.05
2.075,88.135,43.909,-13.142,43.92,13.149,1.316,9.57e-5,1.316,0.004,0.95,0.444,28.61,-80.6,9.792,0.931,3.214e-5,-6.264,-0.024,5042.5,440.5,0.149,4.39e-4,106.926,87.513,1.899,0.129,4.36e6,0,16.986,1.755,1.759,0.23,0.003,0.122,0.134,0.267,-1.41e-4,0,0,0,0,-0.012,0.006,10.22,82.034,86.905,-0.032,2.15,14.427,1002.913,340.042,0.05,0.05
2.114,89.834,43.399,-13.066,43.409,13.074,1.353,9.933e-5,1.353,0.004,0.933,0.465,28.61,-80.6,9.792,1.079,4.061e-6,-2.265,-0.021,5042.5,440.5,0.149,4.39e-4,106.755,87.513,1.883,0.128,4.309e6,0,16.604,1.755,1.761,0.23,0.003,0.122,0.156,0.295,-1.938e-4,0,0,0,0,-0.002,0.006,10.22,82.034,87.069,-0.025,2.11,14.416,1002.714,340.035,0.039,0.051
2.15,91.408,42.924,-12.995,42.934,13.004,1.387,1.024e-4,1.387,0.004,0.915,0.481,28.61,-80.6,9.792,1.173,1.715e-6,1.949,-0.017,5042.5,440.5,0.149,4.39e-4,106.648,87.513,1.872,0.127,4.261e6,0,16.253,1.755,1.762,0.23,0.003,0.122,0.17,0.317,-1.544e-4,0,0,0,0,0.001,0.005,10.22,82.034,87.073,-0.013,2.163,14.406,1002.529,340.029,0.036,0.051
2.185,92.888,42.475,-12.927,42.484,12.935,1.418,1.052e-4,1.418,0.004,0.899,0.459,28.61,-80.6,9.792,1.101,1.67e-5,5.762,-0.018,5042.5,440.5,0.149,4.39e-4,106.729,87.513,1.88,0.125,4.217e6,0,15.907,1.754,1.761,0.23,0.003,0.122,0.159,0.288,4.279e-4,0,0,0,0,0.011,0.005,10.22,82.034,86.937,-1.769e-4,2.193,14.396,1002.356,340.023,0.035,0.051
2.224,94.537,41.971,-12.85,41.981,12.857,1.453,1.084e-4,1.453,0.004,0.882,0.414,28.61,-80.6,9.792,0.91,0,9.238,-0.029,5042.5,440.5,0.149,4.39e-4,106.946,87.513,1.901,0.124,4.167e6,0,15.516,1.754,1.759,0.23,0.003,0.122,0.13,0.219,2.44e-4,0,0,0,0,0.03,0.005,10.22,82.034,86.639,0.014,2.251,14.386,1002.162,340.017,0.039,0.052
2.274,96.615,41.333,-12.756,41.342,12.76,1.496,1.129e-4,1.496,0.004,0.864,0.314,28.61,-80.6,9.792,0.446,-4.274e-6,11.925,-0.068,5042.5,440.5,0.149,4.39e-4,107.491,87.513,1.955,0.122,4.103e6,0,15.019,1.754,1.755,0.23,0.003,0.122,0.063,0.072,-2.211e-4,0,0,0,0,0.051,0.005,10.22,82.034,86.099,0.026,2.273,14.372,1001.919,340.008,0.05,0.052
2.324,98.778,45.173,76.566,45.188,76.871,1.547,1.224e-4,1.547,0.005,1.18,6.839,28.61,-80.6,9.792,0.237,3.095e-5,-11.632,-0.104,5031.48,429.48,0.145,4.371e-4,107.751,87.393,1.992,0.133,4.483e6,453.798,17.927,1.755,1.755,0.23,0.003,0.122,0.033,0.106,1.859e-4,0,0,0,0,-0.041,0.006,10.22,82.034,85.498,0.035,2.177,14.358,1001.665,340,0.05,0.053
2.374,101.122,48.606,68.421,48.629,68.785,1.615,1.434e-4,1.615,0.005,1.515,7.064,28.61,-80.6,9.792,0.801,-2.527e-5,-7.552,-0.025,5020.46,418.46,0.142,4.351e-4,107.087,87.272,1.939,0.143,4.822e6,415.053,20.787,1.755,1.758,0.23,0.003,0.123,0.114,0.236,-2.662e-4,0,0,0,0,-0.015,0.006,10.22,82.034,85.011,0.035,2.027,14.343,1001.39,339.991,0.05,0.053
2.408,102.81,50.768,63.575,50.798,63.959,1.67,1.647e-4,1.67,0.006,1.749,6.997,28.61,-80.6,9.792,1.017,-2.253e-6,-2.805,-0.025,5013.818,411.818,0.14,4.339e-4,106.843,87.199,1.922,0.15,5.036e6,392.221,22.703,1.755,1.761,0.23,0.003,0.123,0.147,0.284,3.326e-4,0,0,0,0,-0.002,0.007,10.22,82.034,84.835,0.029,1.929,14.332,1001.192,339.984,0.034,0.054
2.434,104.15,52.385,62.138,52.42,62.523,1.718,1.842e-4,1.718,0.006,1.929,6.924,28.61,-80.6,9.792,1.03,7.741e-6,1.4,-0.032,5008.737,406.737,0.138,4.329e-4,106.832,87.143,1.927,0.154,5.196e6,386.116,24.173,1.755,1.761,0.229,0.003,0.123,0.149,0.286,-1.1e-4,0,0,0,0,4.388e-4,0.007,10.22,82.034,84.817,0.021,1.874,14.323,1001.035,339.979,0.026,0.055
2.458,105.427,53.852,60.933,53.893,61.299,1.766,2.04e-4,1.766,0.007,2.092,6.694,28.61,-80.6,9.792,0.931,2.012e-6,5.38,-0.033,5004.034,402.034,0.137,4.321e-4,106.949,87.091,1.943,0.159,5.341e6,381.021,25.531,1.756,1.76,0.229,0.003,0.123,0.134,0.254,-4.959e-4,0,0,0,0,0.006,0.007,10.22,82.034,84.9,0.013,1.833,14.315,1000.885,339.974,0.024,0.055
2.483,106.815,55.374,59.782,55.42,60.112,1.821,2.26e-4,1.821,0.007,2.256,6.29,28.61,-80.6,9.792,0.713,9.001e-6,8.967,-0.032,4999.131,397.131,0.135,4.312e-4,107.206,87.036,1.974,0.163,5.492e6,376.195,26.967,1.756,1.759,0.229,0.003,0.123,0.102,0.184,-2.548e-4,0,0,0,0,0.016,0.007,10.22,82.034,85.085,0.005,1.814,14.306,1000.722,339.968,0.025,0.056
2.516,108.664,57.313,58.943,57.365,59.212,1.899,2.549e-4,1.899,0.008,2.451,5.636,28.61,-80.6,9.792,0.32,-5.475e-6,11.831,-0.055,4992.95,390.95,0.133,4.301e-4,107.681,86.968,2.027,0.169,5.684e6,373.201,28.855,1.756,1.757,0.229,0.003,0.124,0.045,0.065,-4.689e-4,0,0,0,0,0.026,0.007,10.22,82.034,85.433,-0.003,1.81,14.294,1000.506,339.961,0.033,0.056
2.565,111.556,60.173,57.882,60.234,58.063,2.026,2.966e-4,2.026,0.008,2.7,4.587,28.61,-80.6,9.792,0.308,-2.632e-4,-10.599,-0.008,4983.679,381.679,0.13,4.284e-4,107.703,86.864,2.039,0.178,5.966e6,369.85,31.809,1.756,1.757,0.229,0.003,0.124,0.043,0.107,3.49e-4,0,0,0,0,-0.019,0.008,10.22,82.034,86.014,0.002,1.852,14.275,1000.166,339.949,0.049,0.057
2.608,114.153,62.583,56.749,62.649,56.882,2.144,3.33e-4,2.144,0.009,2.874,3.881,28.61,-80.6,9.792,0.686,-4.492e-5,-4.72,-0.022,4975.848,373.848,0.128,4.27e-4,107.259,86.777,2.004,0.185,6.205e6,366.11,34.449,1.757,1.759,0.229,0.003,0.124,0.098,0.2,-1.701e-4,0,0,0,0,-0.003,0.008,10.22,82.034,86.348,0.024,1.897,14.258,999.862,339.939,0.042,0.057
2.629,115.525,63.801,56.013,63.869,56.135,2.207,3.53e-4,2.207,0.009,2.956,3.696,28.61,-80.6,9.792,0.745,-1.735e-5,-0.376,-0.018,4971.85,369.85,0.127,4.263e-4,107.194,86.732,2.002,0.188,6.324e6,363.494,35.809,1.757,1.76,0.229,0.003,0.125,0.106,0.213,-7.389e-5,0,0,0,0,-2.133e-5,0.008,10.22,82.034,86.402,0.034,1.891,14.249,999.701,339.934,0.022,0.058
2.649,116.806,64.907,55.468,64.977,55.592,2.267,3.729e-4,2.267,0.009,3.029,3.712,28.61,-80.6,9.792,0.698,-1.64e-5,3.607,-0.025,4968.183,366.183,0.125,4.256e-4,107.252,86.691,2.012,0.191,6.433e6,361.794,37.051,1.757,1.76,0.229,0.003,0.125,0.099,0.199,1.997e-4,0,0,0,0,0.002,0.008,10.22,82.034,86.368,0.041,1.886,14.241,999.551,339.929,0.02,0.058
2.67,118.15,66.036,54.916,66.109,55.051,2.329,3.95e-4,2.329,0.01,3.106,3.851,28.61,-80.6,9.792,0.604,-1.292e-5,7.402,-0.023,4964.402,362.402,0.124,4.249e-4,107.367,86.648,2.027,0.195,6.545e6,360.142,38.338,1.757,1.759,0.229,0.003,0.125,0.086,0.166,-2.754e-5,0,0,0,0,0.008,0.008,10.22,82.034,86.254,0.043,1.917,14.232,999.393,339.924,0.021,0.059
2.693,119.719,67.315,54.224,67.391,54.383,2.404,4.228e-4,2.404,0.01,3.2,4.157,28.61,-80.6,9.792,0.416,-3.12e-6,10.776,-0.025,4960.17,358.17,0.123,4.242e-4,107.595,86.601,2.054,0.199,6.671e6,358.015,39.815,1.757,1.758,0.229,0.003,0.125,0.059,0.105,3.429e-4,0,0,0,0,0.016,0.009,10.22,82.034,86.036,0.04,1.954,14.222,999.209,339.917,0.024,0.059
2.729,122.128,69.197,53.082,69.278,53.3,2.519,4.689e-4,2.519,0.011,3.357,4.806,28.61,-80.6,9.792,0.007,-3.822e-5,-12.22,-1.517,4953.853,351.853,0.121,4.23e-4,108.102,86.529,2.111,0.204,6.856e6,354.427,42.044,1.758,1.758,0.229,0.003,0.125,9.286e-4,0.011,3.244e-4,0,0,0,0,-0.01,0.009,10.22,82.034,85.612,0.027,1.928,14.206,998.926,339.908,0.035,0.06
2.779,125.652,71.784,51.428,71.876,51.719,2.693,5.392e-4,2.693,0.011,3.618,5.478,28.61,-80.6,9.792,0.415,-2.43e-4,-6.438,0.011,4944.927,342.927,0.118,4.214e-4,107.611,86.428,2.073,0.212,7.111e6,349.213,45.271,1.758,1.759,0.229,0.003,0.126,0.058,0.126,-3.926e-4,0,0,0,0,-0.005,0.009,10.22,82.034,85.11,-0.002,1.933,14.183,998.513,339.894,0.05,0.061
2.801,127.244,72.895,50.404,72.991,50.718,2.774,5.7e-4,2.774,0.012,3.741,5.637,28.61,-80.6,9.792,0.516,-2.476e-5,-2.341,-0.022,4941.102,339.102,0.117,4.207e-4,107.494,86.385,2.065,0.215,7.221e6,345.437,46.703,1.758,1.759,0.229,0.003,0.126,0.073,0.151,-2.999e-4,0,0,0,0,-6.326e-4,0.009,10.22,82.034,85.012,-0.01,1.958,14.173,998.326,339.888,0.022,0.061
2.82,128.693,73.882,49.848,73.982,50.157,2.849,5.969e-4,2.849,0.012,3.851,5.56,28.61,-80.6,9.792,0.457,-2.921e-5,1.55,-0.022,4937.67,335.67,0.116,4.201e-4,107.568,86.346,2.077,0.218,7.318e6,343.733,47.972,1.758,1.759,0.229,0.003,0.126,0.065,0.134,4.521e-4,0,0,0,0,2.701e-4,0.009,10.22,82.034,85.005,-0.012,2.012,14.163,998.156,339.882,0.02,0.062
2.842,130.301,74.949,49.289,75.054,49.577,2.934,6.251e-4,2.934,0.012,3.969,5.33,28.61,-80.6,9.792,0.315,-2.654e-5,4.979,-0.037,4933.913,331.913,0.115,4.194e-4,107.744,86.303,2.098,0.221,7.424e6,342.046,49.358,1.758,1.759,0.229,0.003,0.126,0.044,0.09,2.136e-4,0,0,0,0,0.003,0.01,10.22,82.034,85.079,-0.014,2.071,14.153,997.968,339.876,0.022,0.062
2.873,132.645,76.457,48.552,76.569,48.792,3.059,6.636e-4,3.059,0.012,4.126,4.831,28.61,-80.6,9.792,0.015,-6.657e-5,6.88,-0.598,4928.531,326.531,0.113,4.185e-4,108.117,86.242,2.14,0.226,7.573e6,339.901,51.359,1.759,1.759,0.229,0.003,0.127,0.002,-7.032e-5,1.352e-4,0,0,0,0,0.005,0.01,10.22,82.034,85.277,-0.008,2.181,14.138,997.693,339.866,0.031,0.063
2.919,136.246,78.649,46.883,78.768,47.074,3.256,7.184e-4,3.256,0.013,4.329,4.234,28.61,-80.6,9.792,0.269,4.234e-5,-1.973,-0.059,4920.788,318.788,0.11,4.171e-4,107.813,86.153,2.119,0.232,7.788e6,334.024,54.359,1.759,1.759,0.229,0.003,0.127,0.038,0.08,3.618e-4,0,0,0,0,-3.856e-4,0.01,10.22,82.034,85.522,0.007,2.265,14.114,997.271,339.852,0.046,0.063
2.945,138.299,79.819,45.115,79.942,45.292,3.369,7.492e-4,3.369,0.013,4.433,4.003,28.61,-80.6,9.792,0.307,-2.559e-5,1.551,-0.034,4916.471,314.471,0.109,4.163e-4,107.772,86.104,2.12,0.236,7.903e6,326.657,55.991,1.759,1.76,0.229,0.003,0.127,0.043,0.091,1.245e-4,0,0,0,0,2.315e-4,0.01,10.22,82.034,85.533,0.018,2.238,14.101,997.03,339.844,0.026,0.064
