0,      1,      2,      3,  4,   5,         6,            7,        8 ,    9,     10,    11,         12,             13,          14,             15,  16,       17,      18,       19,        20,         21
version,serial,flight,time,state,state_name,acceleration,pressure,altitude,height,speed,temperature,drogue_voltage,main_voltage,battery_voltage,accel_x,accel_y,accel_z,gyro_roll,gyro_pitch,gyro_yaw,mag_x,mag_y,mag_z,tilt,pyro,igniter_a,igniter_b,igniter_c,igniter_d6, 5595, 1,     0.00, 3,   boost,   66.19, 101445.00,   -9.98,   -0.42,    3.86, 18.8, 0.00, 4.19, 4.15, -74.82,  12.28,  -5.09,  33.46,  -2.00,   0.29,  -0.06,  -0.15,  -0.09,   3.79, 4.15, 0.00, 0.00, 0.00, 0.00
6, 5595, 1,     0.00, 3,   boost,   66.19, 101445.00,   -9.98,   -0.42,    3.86, 18.8, 0.00, 4.19, 4.15, -74.82,  12.28,  -5.09,  33.46,  -2.00,   0.29,  -0.06,  -0.15,  -0.09,   3.79, 4.15, 0.00, 0.00, 0.00, 0.00
6, 5595, 1,     0.00, 3,   boost,   66.19, 101445.00,   -9.98,   -0.42,    3.86, 18.8, 0.00, 4.19, 4.15, -74.82,  12.28,  -5.09,  33.46,  -2.00,   0.29,  -0.06,  -0.15,  -0.09,   3.79, 4.15, 0.00, 0.00, 0.00, 0.00
6, 5595, 1,     0.00, 3,   boost,   66.19, 101445.00,   -9.98,   -0.42,    3.86, 18.8, 0.00, 4.19, 4.15, -74.82,  12.28,  -5.09,  33.46,  -2.00,   0.29,  -0.06,  -0.15,  -0.09,   3.80, 4.15, 0.00, 0.00, 0.00, 0.00
6, 5595, 1,     0.00, 3,   boost,   66.19, 101445.00,   -9.98,   -0.42,    3.86, 18.8, 0.00, 4.19, 4.15, -74.82,  12.28,  -5.09,  33.46,  -2.00,   0.29,  -0.06,  -0.15,  -0.09,   3.79, 4.15, 0.00, 0.00, 0.00, 0.00
6, 5595, 1,     0.00, 3,   boost,   66.19, 101445.00,   -9.98,   -0.42,    3.86, 18.8, 0.00, 4.19, 4.15, -74.82,  12.28,  -5.09,  33.46,  -2.00,   0.29,  -0.06,  -0.15,  -0.09,   3.79, 4.15, 0.00, 0.00, 0.00, 0.00
6, 5595, 1,     0.00, 3,   boost,   66.19, 101445.00,   -9.98,   -0.42,    3.86, 18.8, 0.00, 4.19, 4.15, -74.82,  12.28,  -5.09,  33.46,  -2.00,   0.29,  -0.06,  -0.15,  -0.09,   3.79, 4.15, 0.00, 0.00, 0.00, 0.00
6, 5595, 1,     0.00, 3,   boost,   66.19, 101445.00,   -9.98,   -0.42,    3.86, 18.8, 0.00, 4.19, 4.15, -74.82,  12.28,  -5.09,  33.46,  -2.00,   0.29,  -0.06,  -0.15,  -0.09,   3.79, 4.15, 0.00, 0.00, 0.00, 0.00
6, 5595, 1,     0.00, 3,   boost,   66.19, 101445.00,   -9.98,   -0.42,    3.86, 18.8, 0.00, 4.19, 4.15, -74.82,  12.28,  -5.09,  33.46,  -2.00,   0.29,  -0.06,  -0.15,  -0.09,   3.79, 4.15, 0.00, 0.00, 0.00, 0.00
6, 5595, 1,     0.00, 3,   boost,   66.19, 101445.00,   -9.98,   -0.42,    3.86, 18.8, 0.00, 4.19, 4.15, -74.82,  12.28,  -5.09,  33.46,  -2.00,   0.29,  -0.06,  -0.15,  -0.09,   3.79, 4.15, 0.00, 0.00, 0.00, 0.00
6, 5595, 1,     0.00, 3,   boost,   66.19, 101445.00,   -9.98,   -0.42,    3.86, 18.8, 0.00, 4.19, 4.15, -74.82,  12.28,  -5.09,  33.46,  -2.00,   0.29,  -0.06,  -0.15,  -0.09,   3.79, 4.15, 0.00, 0.00, 0.00, 0.00
6, 5595, 1,     0.00, 3,   boost,   66.19, 101445.00,   -9.98,   -0.42,    3.86, 18.8, 0.00, 4.19, 4.15, -74.82,  12.28,  -5.09,  33.46,  -2.00,   0.29,  -0.06,  -0.15,  -0.09,   3.79, 4.15, 0.00, 0.00, 0.00, 0.00
6, 5595, 1,     0.00, 3,   boost,   66.19, 101445.00,   -9.98,   -0.42,    3.86, 18.8, 0.00, 4.19, 4.15, -74.82,  12.28,  -5.09,  33.46,  -2.00,   0.29,  -0.06,  -0.15,  -0.09,   3.79, 4.15, 0.00, 0.00, 0.00, 0.00
6, 5595, 1,     0.00, 3,   boost,   66.19, 101445.00,   -9.98,   -0.42,    3.86, 18.8, 0.00, 4.19, 4.15, -74.82,  12.28,  -5.09,  33.46,  -2.00,   0.29,  -0.06,  -0.15,  -0.09,   3.79, 4.15, 0.00, 0.00, 0.00, 0.00
6, 5595, 1,     0.00, 3,   boost,   66.19, 101445.00,   -9.98,   -0.42,    3.86, 18.8, 0.00, 4.19, 4.15, -74.82,  12.28,  -5.09,  33.46,  -2.00,   0.29,  -0.06,  -0.15,  -0.09,   3.79, 4.15, 0.00, 0.00, 0.00, 0.00
6, 5595, 1,     0.00, 3,   boost,   66.19, 101445.00,   -9.98,   -0.42,    3.86, 18.8, 0.00, 4.19, 4.15, -74.82,  12.28,  -5.09,  33.46,  -2.00,   0.29,  -0.06,  -0.15,  -0.09,   3.79, 4.15, 0.00, 0.00, 0.00, 0.00
6, 5595, 1,     0.00, 3,   boost,   66.19, 101445.00,   -9.98,   -0.42,    3.86, 18.8, 0.00, 4.19, 4.15, -74.82,  12.28,  -5.09,  33.46,  -2.00,   0.29,  -0.06,  -0.15,  -0.09,   3.79, 4.15, 0.00, 0.00, 0.00, 0.00
