altitude(meters),wind_vector(E,N,U)
212,30.01,0.0,-0.0
213,30.0,0.0,-0.0
214,30.0,0.0,-0.0
215,30.0,0.0,-0.0
216,29.99,0.0,-0.0
217,29.99,0.0,-0.0
218,29.99,0.0,-0.0
219,29.99,0.0,-0.0
220,29.98,0.0,-0.0
221,29.98,0.0,-0.0
222,29.98,0.0,-0.0
223,29.97,0.0,-0.0
224,29.97,0.0,-0.0
225,29.97,0.0,-0.0
226,29.97,0.0,-0.0
227,29.96,0.0,-0.0
228,29.96,0.0,-0.0
229,29.96,0.0,-0.0
230,29.95,0.0,-0.0
231,29.95,0.0,-0.0
232,29.95,0.0,-0.0
233,29.95,0.0,-0.0
234,29.94,0.0,-0.0
235,29.94,0.0,-0.0
236,29.94,0.0,-0.0
237,29.93,0.0,-0.0
238,29.93,0.0,-0.0
239,29.93,0.0,-0.0
240,29.93,0.0,-0.0
241,29.92,0.0,-0.0
242,29.92,0.0,-0.0
243,29.92,0.0,-0.0
244,29.91,0.0,-0.0
245,29.91,0.0,-0.0
246,29.91,0.0,-0.0
247,29.91,0.0,-0.0
248,29.9,0.0,-0.0
249,29.9,0.0,-0.0
250,29.9,0.0,-0.0
251,29.89,0.0,-0.0
252,29.89,0.0,-0.0
253,29.89,0.0,-0.0
254,29.89,0.0,-0.0
255,29.88,0.0,-0.0
256,29.88,0.0,-0.0
257,29.88,0.0,-0.0
258,29.87,0.0,-0.0
259,29.87,0.0,-0.0
260,29.87,0.0,-0.0
261,29.86,0.0,-0.0
262,29.86,0.0,-0.0
263,29.86,0.0,-0.0
264,29.86,0.0,-0.0
265,29.85,0.0,-0.0
266,29.85,0.0,-0.0
267,29.85,0.0,-0.0
268,29.84,0.0,-0.0
269,29.84,0.0,-0.0
270,29.84,0.0,-0.0
271,29.84,0.0,-0.0
272,29.83,0.0,-0.0
273,29.83,0.0,-0.0
274,29.83,0.0,-0.0
275,29.82,0.0,-0.0
276,29.82,0.0,-0.0
277,29.82,0.0,-0.0
278,29.82,0.0,-0.0
279,29.81,0.0,-0.0
280,29.81,0.0,-0.0
281,29.81,0.0,-0.0
282,29.8,0.0,-0.0
283,29.8,0.0,-0.0
284,29.8,0.0,-0.0
285,29.8,0.0,-0.0
286,29.79,0.0,-0.0
287,29.79,0.0,-0.0
288,29.79,0.0,-0.0
289,29.78,0.0,-0.0
290,29.78,0.0,-0.0
291,29.78,0.0,-0.0
292,29.78,0.0,-0.0
293,29.77,0.0,-0.0
294,29.77,0.0,-0.0
295,29.77,0.0,-0.0
296,29.76,0.0,-0.0
297,29.76,0.0,-0.0
298,29.76,0.0,-0.0
299,29.76,0.0,-0.0
300,29.75,0.0,-0.0
301,29.75,0.0,-0.0
302,29.75,0.0,-0.0
303,29.74,0.0,-0.0
304,29.74,0.0,-0.0
305,29.74,0.0,-0.0
306,29.74,0.0,-0.0
307,29.73,0.0,-0.0
308,29.73,0.0,-0.0
309,29.73,0.0,-0.0
310,29.72,0.0,-0.0
311,29.72,0.0,-0.0
312,29.72,0.0,-0.0
313,29.72,0.0,-0.0
314,29.71,0.0,-0.0
315,29.71,0.0,-0.0
316,29.71,0.0,-0.0
317,29.7,0.0,-0.0
318,29.7,0.0,-0.0
319,29.7,0.0,-0.0
320,29.7,0.0,-0.0
321,29.69,0.0,-0.0
322,29.69,0.0,-0.0
323,29.69,0.0,-0.0
324,29.68,0.0,-0.0
325,29.68,0.0,-0.0
326,29.68,0.0,-0.0
327,29.68,0.0,-0.0
328,29.67,0.0,-0.0
329,29.67,0.0,-0.0
330,29.67,0.0,-0.0
331,29.66,0.0,-0.0
332,29.66,0.0,-0.0
333,29.66,0.0,-0.0
334,29.66,0.0,-0.0
335,29.65,0.0,-0.0
336,29.65,0.0,-0.0
337,29.65,0.0,-0.0
338,29.64,0.0,-0.0
339,29.64,0.0,-0.0
340,29.64,0.0,-0.0
341,29.63,0.0,-0.0
342,29.63,0.0,-0.0
343,29.63,0.0,-0.0
344,29.63,0.0,-0.0
345,29.62,0.0,-0.0
346,29.62,0.0,-0.0
347,29.62,0.0,-0.0
348,29.61,0.0,-0.0
349,29.61,0.0,-0.0
350,29.61,0.0,-0.0
351,29.61,0.0,-0.0
352,29.6,0.0,-0.0
353,29.6,0.0,-0.0
354,29.6,0.0,-0.0
355,29.59,0.0,-0.0
356,29.59,0.0,-0.0
357,29.59,0.0,-0.0
358,29.59,0.0,-0.0
359,29.58,0.0,-0.0
360,29.58,0.0,-0.0
361,29.58,0.0,-0.0
362,29.57,0.0,-0.0
363,29.57,0.0,-0.0
364,29.57,0.0,-0.0
365,29.57,0.0,-0.0
366,29.56,0.0,-0.0
367,29.56,0.0,-0.0
368,29.56,0.0,-0.0
369,29.55,0.0,-0.0
370,29.55,0.0,-0.0
371,29.55,0.0,-0.0
372,29.55,0.0,-0.0
373,29.54,0.0,-0.0
374,29.54,0.0,-0.0
375,29.54,0.0,-0.0
376,29.53,0.0,-0.0
377,29.53,0.0,-0.0
378,29.53,0.0,-0.0
379,29.53,0.0,-0.0
380,29.52,0.0,-0.0
381,29.52,0.0,-0.0
382,29.52,0.0,-0.0
383,29.51,0.0,-0.0
384,29.51,0.0,-0.0
385,29.51,0.0,-0.0
386,29.51,0.0,-0.0
387,29.5,0.0,-0.0
388,29.5,0.0,-0.0
389,29.5,0.0,-0.0
390,29.49,0.0,-0.0
391,29.49,0.0,-0.0
392,29.49,0.0,-0.0
393,29.49,0.0,-0.0
394,29.48,0.0,-0.0
395,29.48,0.0,-0.0
396,29.48,0.0,-0.0
397,29.47,0.0,-0.0
398,29.47,0.0,-0.0
399,29.47,0.0,-0.0
400,29.47,0.0,-0.0
401,29.46,0.0,-0.0
402,29.46,0.0,-0.0
403,29.46,0.0,-0.0
404,29.45,0.0,-0.0
405,29.45,0.0,-0.0
406,29.45,0.0,-0.0
407,29.45,0.0,-0.0
408,29.44,0.0,-0.0
409,29.44,0.0,-0.0
410,29.44,0.0,-0.0
411,29.43,0.0,-0.0
412,29.43,0.0,-0.0
413,29.43,0.0,-0.0
414,29.43,0.0,-0.0
415,29.42,0.0,-0.0
416,29.42,0.0,-0.0
417,29.42,0.0,-0.0
418,29.41,0.0,-0.0
419,29.41,0.0,-0.0
420,29.41,0.0,-0.0
421,29.41,0.0,-0.0
422,29.4,0.0,-0.0
423,29.4,0.0,-0.0
424,29.4,0.0,-0.0
425,29.39,0.0,-0.0
426,29.39,0.0,-0.0
427,29.39,0.0,-0.0
428,29.39,0.0,-0.0
429,29.38,0.0,-0.0
430,29.38,0.0,-0.0
431,29.38,0.0,-0.0
432,29.37,0.0,-0.0
433,29.37,0.0,-0.0
434,29.37,0.0,-0.0
435,29.37,0.0,-0.0
436,29.36,0.0,-0.0
437,29.36,0.0,-0.0
438,29.36,0.0,-0.0
439,29.36,0.0,-0.0
440,29.35,0.0,-0.0
441,29.35,0.0,-0.0
442,29.35,0.0,-0.0
443,29.34,0.0,-0.0
444,29.34,0.0,-0.0
445,29.34,0.0,-0.0
446,29.34,0.0,-0.0
447,29.33,0.0,-0.0
448,29.33,0.0,-0.0
449,29.33,0.0,-0.0
450,29.32,0.0,-0.0
451,29.32,0.0,-0.0
452,29.32,0.0,-0.0
453,29.32,0.0,-0.0
454,29.31,0.0,-0.0
455,29.31,0.0,-0.0
456,29.31,0.0,-0.0
457,29.3,0.0,-0.0
458,29.3,0.0,-0.0
459,29.3,0.0,-0.0
460,29.3,0.0,-0.0
461,29.29,0.0,-0.0
462,29.29,0.0,-0.0
463,29.29,0.0,-0.0
464,29.28,0.0,-0.0
465,29.28,0.0,-0.0
466,29.28,0.0,-0.0
467,29.28,0.0,-0.0
468,29.27,0.0,-0.0
469,29.27,0.0,-0.0
470,29.27,0.0,-0.0
471,29.26,0.0,-0.0
472,29.26,0.0,-0.0
473,29.26,0.0,-0.0
474,29.26,0.0,-0.0
475,29.25,0.0,-0.0
476,29.25,0.0,-0.0
477,29.25,0.0,-0.0
478,29.24,0.0,-0.0
479,29.24,0.0,-0.0
480,29.24,0.0,-0.0
481,29.24,0.0,-0.0
482,29.23,0.0,-0.0
483,29.23,0.0,-0.0
484,29.23,0.0,-0.0
485,29.22,0.0,-0.0
486,29.22,0.0,-0.0
487,29.22,0.0,-0.0
488,29.22,0.0,-0.0
489,29.21,0.0,-0.0
490,29.21,0.0,-0.0
491,29.21,0.0,-0.0
492,29.2,0.0,-0.0
493,29.2,0.0,-0.0
494,29.2,0.0,-0.0
495,29.2,0.0,-0.0
496,29.19,0.0,-0.0
497,29.19,0.0,-0.0
498,29.19,0.0,-0.0
499,29.18,0.0,-0.0
